# Time-averaged data for fix out_rdf
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3] c_rdf_all[4] c_rdf_all[5] c_rdf_all[6] c_rdf_all[7]
1000 200
112 4.46 0.876565 1.00618 1.06298 0.97307 5.91776 6.43397
113 4.5 0.862198 1.03333 1.09263 1.00787 6.15136 6.62988
114 4.54 0.85629 1.06077 1.10466 1.04368 6.485 6.84011
115 4.58 0.859107 1.08879 1.11639 1.08051 6.72704 7.06205
116 4.62 0.866441 1.11754 1.12174 1.11817 6.94641 7.29524
117 4.66 0.896734 1.14782 1.11094 1.15611 6.90018 7.53091
118 4.7 0.875081 1.17788 1.10743 1.19459 7.13691 7.77887
119 4.74 0.900875 1.20934 1.07434 1.23255 7.14712 8.03142
120 4.78 0.925259 1.24221 1.05507 1.27047 7.10049 8.28659
121 4.82 0.921868 1.27551 1.02037 1.30775 7.28067 8.55262
122 4.86 0.922122 1.30938 1.01746 1.34555 7.41674 8.82814
123 4.9 0.934834 1.34427 0.987225 1.38283 7.6079 9.11544
124 4.94 0.942666 1.38004 0.963405 1.4198 7.55475 9.4054
125 4.98 0.930334 1.41591 0.952459 1.45696 7.40418 9.69421
126 5.02 0.950319 1.45315 0.953875 1.49476 7.34592 9.98537
127 5.06 0.937212 1.49046 0.929682 1.5322 7.51379 10.2879
128 5.1 0.92983 1.52806 0.903117 1.56915 7.25488 10.5847
129 5.14 0.924171 1.56602 0.907304 1.60685 7.16634 10.8825
130 5.18 0.907229 1.60387 0.893256 1.64454 7.04242 11.1797
131 5.22 0.898745 1.64195 0.877322 1.68214 6.92737 11.4766
132 5.26 0.868001 1.67929 0.870601 1.72003 6.71971 11.769
133 5.3 0.866439 1.71713 0.848333 1.75751 6.39217 12.0514
134 5.34 0.867692 1.7556 0.840444 1.7952 6.28605 12.3333
135 5.38 0.853618 1.79401 0.823253 1.83268 6.01202 12.607
136 5.42 0.821906 1.83155 0.798561 1.86957 5.93686 12.8813
137 5.46 0.831279 1.87008 0.782095 1.90624 5.74798 13.1508
138 5.5 0.814113 1.90837 0.777011 1.94321 5.55652 13.4152
139 5.54 0.799466 1.94652 0.754686 1.97964 5.53253 13.6822
140 5.58 0.779358 1.98425 0.740619 2.01591 5.40424 13.9469
141 5.62 0.781879 2.02265 0.73774 2.05256 5.17803 14.2041
142 5.66 0.765315 2.06077 0.721897 2.08893 5.20081 14.4662
143 5.7 0.7638 2.09935 0.701129 2.12476 5.12938 14.7283
144 5.74 0.761104 2.13834 0.703745 2.16123 5.17044 14.9962
145 5.78 0.745573 2.17706 0.695768 2.19778 5.142 15.2664
146 5.82 0.749239 2.21652 0.685313 2.23429 5.13736 15.5401
147 5.86 0.738943 2.25598 0.697274 2.27195 5.08116 15.8145
148 5.9 0.749743 2.29655 0.685189 2.30947 5.19168 16.0987
149 5.94 0.752278 2.33782 0.683297 2.34738 5.26342 16.3908
150 5.98 0.745316 2.37926 0.6855 2.38594 5.40142 16.6946
151 6.02 0.745394 2.42126 0.684163 2.42494 5.47266 17.0066
152 6.06 0.741524 2.4636 0.685128 2.46451 5.55545 17.3274
153 6.1 0.749148 2.50694 0.694941 2.50518 5.77138 17.6652
154 6.14 0.732279 2.54986 0.692848 2.54626 5.8505 18.0121
155 6.18 0.73176 2.59332 0.700145 2.58832 6.04166 18.375
156 6.22 0.738592 2.63774 0.715416 2.63185 6.15768 18.7497
157 6.26 0.742149 2.68296 0.724066 2.67648 6.13143 19.1276
158 6.3 0.724282 2.72766 0.73283 2.72222 6.40212 19.5272
159 6.34 0.730476 2.77331 0.735477 2.76872 6.44268 19.9345
160 6.38 0.738013 2.82002 0.755867 2.81711 6.52745 20.3524
161 6.42 0.732244 2.86694 0.759975 2.86637 6.66468 20.7845
162 6.46 0.737187 2.91477 0.780084 2.91757 6.7348 21.2265
163 6.5 0.736619 2.96316 0.785589 2.96978 6.90048 21.685
164 6.54 0.745349 3.01273 0.79766 3.02344 6.80009 22.1425
165 6.58 0.741043 3.06261 0.80404 3.07819 6.8608 22.6097
166 6.62 0.754879 3.11405 0.817569 3.13454 6.86212 23.0827
167 6.66 0.749822 3.16576 0.828765 3.19236 6.89565 23.5637
168 6.7 0.746946 3.21789 0.83832 3.25154 6.98762 24.0571
169 6.74 0.763607 3.27182 0.844781 3.3119 6.91752 24.5513
170 6.78 0.763926 3.32642 0.853913 3.37364 6.90731 25.0507
171 6.82 0.768058 3.38196 0.853686 3.43609 6.89908 25.5554
172 6.86 0.772744 3.4385 0.859495 3.4997 6.90752 26.0666
173 6.9 0.783537 3.4965 0.862284 3.56427 6.93073 26.5856
174 6.94 0.79388 3.55595 0.861722 3.62955 6.96954 27.1136
175 6.98 0.798932 3.61647 0.865867 3.6959 6.90123 27.6424
176 7.02 0.803005 3.678 0.870858 3.7634 6.7896 28.1686
177 7.06 0.813459 3.74104 0.872518 3.8318 6.85975 28.7064
178 7.1 0.821836 3.80545 0.868375 3.90064 6.73116 29.2401
179 7.14 0.824027 3.87077 0.869988 3.9704 6.76227 29.7823
180 7.18 0.825436 3.93693 0.872351 4.04113 6.71292 30.3266
181 7.22 0.827063 4.00396 0.877704 4.11309 6.71407 30.877
182 7.26 0.835447 4.07242 0.87281 4.18545 6.76717 31.438
183 7.3 0.829884 4.14118 0.861669 4.25766 6.58425 31.9899
184 7.34 0.828007 4.21054 0.870159 4.3314 6.58136 32.5475
185 7.38 0.829165 4.28075 0.862698 4.4053 6.53123 33.107
186 7.42 0.833657 4.35212 0.86051 4.47981 6.41977 33.6629
187 7.46 0.838793 4.42469 0.857906 4.5549 6.37207 34.2206
188 7.5 0.836864 4.49788 0.855651 4.6306 6.40681 34.7875
189 7.54 0.841915 4.5723 0.846915 4.70633 6.32895 35.3534
190 7.58 0.831103 4.64655 0.851811 4.7833 6.28831 35.9216
191 7.62 0.833668 4.72181 0.83501 4.85956 6.23093 36.4906
192 7.66 0.835112 4.79799 0.843819 4.93743 6.16705 37.0598
193 7.7 0.827629 4.87429 0.833613 5.01516 6.10106 37.6287
194 7.74 0.830953 4.95168 0.827532 5.09314 6.03033 38.1969
195 7.78 0.841709 5.0309 0.823621 5.17154 5.98233 38.7664
196 7.82 0.83888 5.11066 0.816987 5.25012 5.90355 39.3342
197 7.86 0.834225 5.19079 0.818752 5.32968 5.87441 39.905
198 7.9 0.833411 5.27166 0.811655 5.40935 5.8164 40.4759
199 7.94 0.834155 5.35342 0.816948 5.49035 5.80888 41.0519
200 7.98 0.839969 5.43658 0.811842 5.57166 5.64896 41.6177
3000 200
1 0.02 0 0 0 0 0 0
2 0.06 0 0 0 0 0 0
3 0.1 0 0 0 0 0 0
4 0.14 0 0 0 0 0 0
5 0.18 0 0 0 0 0 0
6 0.22 0 0 0 0 0 0
7 0.26 0 0 0 0 0 0
8 0.3 0 0 0 0 0 0
9 0.34 0 0 0 0 0 0
10 0.38 0 0 0 0 0 0
11 0.42 0 0 0 0 0 0
12 0.46 0 0 0 0 0 0
13 0.5 0 0 0 0 0 0
14 0.54 0 0 0 0 0 0
15 0.58 0 0 0 0 0 0
16 0.62 0 0 0 0 0 0
17 0.66 0 0 0 0 0 0
18 0.7 0 0 0 0 0 0
19 0.74 0 0 0 0 0 0
20 0.78 0 0 0 0 0 0
21 0.82 0 0 0 0 0 0
22 0.86 0 0 0 0 0 0
23 0.9 0 0 0 0 0 0
24 0.94 0 0 0 0 0 0
25 0.98 0 0 0 0 0 0
26 1.02 0 0 0 0 0 0
27 1.06 0 0 0 0 0 0
28 1.1 0 0 0 0 0 0
29 1.14 0 0 0 0 0 0
30 1.18 0 0 0 0 0 0
31 1.22 0 0 0 0 0 0
32 1.26 0 0 0 0 0 0
33 1.3 0 0 0 0 0 0
34 1.34 0 0 0 0 0 0
35 1.38 0 0 0 0 0 0
36 1.42 0 0 0 0 0 0
37 1.46 0 0 0 0 0 0
38 1.5 0 0 0 0 0 0
