# Time-averaged data for fix out_vacf
Step VACF_x VACF_y VACF_z VACF_total
1940 -0.10329 0.158321 -0.117908 -0.0628771
1945 -0.078245 0.179845 -0.0915 0.0101004
1950 -0.0434114 0.189848 -0.067335 0.0791017
1955 -0.00598166 0.178225 -0.0492469 0.122997
1960 0.0262531 0.140934 -0.040963 0.126224
1965 0.0498168 0.0847779 -0.0413814 0.0932132
1970 0.0672447 0.0243843 -0.0439358 0.0476933
1975 0.0814599 -0.0265703 -0.0421046 0.012785
1980 0.0889042 -0.0639575 -0.0326956 -0.00774884
1985 0.0807742 -0.0945585 -0.0178297 -0.031614
1990 0.0508112 -0.125909 -0.00140145 -0.0764989
1995 0.000599043 -0.156056 0.0141284 -0.141328
2000 -0.0595979 -0.174471 0.0277019 -0.206367
2005 -0.115342 -0.170938 0.0400842 -0.246195
2010 -0.156513 -0.145462 0.0542713 -0.247704
2015 -0.179375 -0.108962 0.0726715 -0.215666
2020 -0.182509 -0.0737551 0.0944119 -0.161852
2025 -0.166349 -0.0459042 0.112931 -0.0993223
2030 -0.135532 -0.027709 0.116739 -0.0465019
2035 -0.0945671 -0.0221225 0.0957895 -0.0209001
2040 -0.0451034 -0.030211 0.0492711 -0.0260433
2045 0.0103889 -0.0484023 -0.0140203 -0.0520336
2050 0.0641286 -0.0714357 -0.0819287 -0.0892357
2055 0.10455 -0.094901 -0.144519 -0.13487
2060 0.122295 -0.110081 -0.192514 -0.180299
2065 0.115929 -0.102643 -0.216545 -0.203258
2070 0.093161 -0.0678945 -0.212323 -0.187056
2075 0.0663412 -0.0177265 -0.18299 -0.134375
2080 0.0461518 0.0323796 -0.13767 -0.059139
2085 0.0357633 0.0718601 -0.0917578 0.0158657
2090 0.028608 0.0896473 -0.0595078 0.0587474
2095 0.0157276 0.0724903 -0.0413916 0.0468263
2100 -0.00276074 0.0153964 -0.0276737 -0.0150381
2105 -0.0185286 -0.0701824 -0.0141014 -0.102812
2110 -0.0245083 -0.157998 -0.00500086 -0.187508
2115 -0.0190908 -0.219944 -0.00670107 -0.245736
2120 -0.00364517 -0.242179 -0.0222911 -0.268115
2125 0.0224543 -0.230589 -0.0492008 -0.257336
2130 0.0595537 -0.199253 -0.080624 -0.220324
2135 0.101926 -0.154811 -0.110343 -0.163227
2140 0.14022 -0.0971834 -0.133702 -0.0906647
2145 0.165012 -0.031329 -0.146537 -0.012854
2150 0.165683 0.0291926 -0.145757 0.0491183
2155 0.13577 0.0697581 -0.131688 0.0738393
2160 0.0813552 0.0877031 -0.108671 0.0603873
2165 0.0165233 0.0905403 -0.0818163 0.0252473
2170 -0.0478114 0.0842129 -0.0541334 -0.0177319
2175 -0.1061 0.0687844 -0.0240609 -0.0613762
2180 -0.154427 0.0405556 0.0139976 -0.0998733
2185 -0.188707 0.00121831 0.0618305 -0.125659
2190 -0.205155 -0.0366328 0.113978 -0.12781
2195 -0.199944 -0.057813 0.161773 -0.0959839
2200 -0.171354 -0.0579318 0.199482 -0.0298029
2205 -0.12205 -0.0467089 0.225795 0.0570357
2210 -0.0579837 -0.0348703 0.240521 0.147667
2215 0.0154469 -0.024417 0.245158 0.236188
2220 0.0951893 -0.0132599 0.241559 0.323489
2225 0.178609 -0.00236865 0.229549 0.405789
2230 0.260327 0.00426587 0.208075 0.472667
2235 0.33297 0.00491878 0.179143 0.517032
2240 0.387559 0.00287482 0.150373 0.540807
2245 0.41396 0.00315726 0.128899 0.546016
2250 0.403642 0.00681374 0.11429 0.524746
2255 0.353149 0.0132643 0.099439 0.465853
2260 0.266507 0.0248801 0.0771717 0.368559
2265 0.154503 0.0442432 0.0465945 0.245341
2270 0.0335799 0.0695769 0.0147935 0.11795
2275 -0.0781775 0.0977208 -0.0119607 0.00758261
2280 -0.168042 0.126563 -0.035603 -0.0770816
